1,1,credit,500000.00,Gaji Bulanan,TXN001,2025-06-16 07:51:47.214055
2,1,debit,150000.00,Pembayaran listrik,TXN002,2025-06-16 07:51:47.214055
3,2,credit,750000.00,Komisi Proyek,TXN003,2025-06-16 07:51:47.214055
4,2,debit,200000.00,Belanja Online,TXN004,2025-06-16 07:51:47.214055
5,3,credit,1200000.00,Transfer dari HRD,TXN005,2025-06-16 07:51:47.214055
6,3,debit,300000.00,Pembayaran KPR,TXN006,2025-06-16 07:51:47.214055
7,4,credit,200000.00,Transfer dari teman,TXN007,2025-06-16 07:51:47.214055
8,4,debit,100000.00,Bayar Netflix,TXN008,2025-06-16 07:51:47.214055
9,5,credit,450000.00,Penjualan barang,TXN009,2025-06-16 07:51:47.214055
10,5,debit,250000.00,Beli pulsa,TXN010,2025-06-16 07:51:47.214055
11,6,credit,1000000.00,Gaji Freelance,TXN011,2025-06-16 07:51:47.214055
12,6,debit,500000.00,Bayar motor,TXN012,2025-06-16 07:51:47.214055
13,7,credit,300000.00,Transfer dari saudara,TXN013,2025-06-16 07:51:47.214055
14,7,debit,100000.00,Bayar BPJS,TXN014,2025-06-16 07:51:47.214055
15,8,credit,600000.00,Hasil investasi,TXN015,2025-06-16 07:51:47.214055
16,8,debit,250000.00,Belanja harian,TXN016,2025-06-16 07:51:47.214055
17,9,credit,750000.00,Bonus tahunan,TXN017,2025-06-16 07:51:47.214055
18,9,debit,350000.00,Langganan Spotify,TXN018,2025-06-16 07:51:47.214055
19,10,credit,500000.00,Uang lembur,TXN019,2025-06-16 07:51:47.214055
20,10,debit,200000.00,Cicilan laptop,TXN020,2025-06-16 07:51:47.214055
21,1,credit,150000.00,Cashback Shopee,TXN021,2025-06-16 07:51:47.214055
22,1,debit,100000.00,Beli kopi,TXN022,2025-06-16 07:51:47.214055
23,2,credit,900000.00,Penjualan properti,TXN023,2025-06-16 07:51:47.214055
24,2,debit,150000.00,Parkir Bandara,TXN024,2025-06-16 07:51:47.214055
25,3,credit,850000.00,Insentif kerja,TXN025,2025-06-16 07:51:47.214055
26,3,debit,120000.00,Jajan,TXN026,2025-06-16 07:51:47.214055
27,4,credit,250000.00,Kado dari ortu,TXN027,2025-06-16 07:51:47.214055
28,4,debit,110000.00,Isi bensin,TXN028,2025-06-16 07:51:47.214055
29,5,credit,700000.00,Komisi affiliate,TXN029,2025-06-16 07:51:47.214055
30,5,debit,300000.00,Beli baju,TXN030,2025-06-16 07:51:47.214055
31,6,credit,550000.00,Transfer masuk,TXN031,2025-06-16 07:51:47.214055
